ticker,price,prob_5pct_30d,confidence,tau,exp_30d_return,pi_low,pi_high,pi_width,decision,reason,atr_pct,size,stop,target1,dma200,adx14,mom_60,gates_pass,gates_reason,actionable,weight
BAC,54.15999984741211,0.4558406074311169,0.544159392568883,0.6204263671600725,0.0737981365570151,-0.0889233830173046,0.2365196561313349,0.3254430391486396,UNSURE,low confidence (0.54 < tau 0.62),0.0178439629230985,0.0188524194655706,52.22714178902762,59.57599983215332,0.1696008448421599,42.58249460640496,0.0803909573794148,True,0,False,0.05
PG,145.36000061035156,0.5385292934067013,0.5385292934067013,0.6204263671600725,0.067071732161223,-0.0956497874130967,0.2297932517355428,0.3254430391486396,UNSURE,low confidence (0.54 < tau 0.62),0.0161127095326087,0.0224171437182849,140.67571367536272,159.89600067138673,-0.0739778969771634,30.58344725506922,-0.0697395112084112,False,Price below DMA200,False,0.0043143850812831725
WMT,114.83999633789062,0.4634641760368858,0.5365358239631142,0.6204263671600725,-0.0580249981517183,-0.2207465177260381,0.1046965214226014,0.3254430391486396,UNSURE,low confidence (0.54 < tau 0.62),0.0217445296191691,0.0123674820421134,119.83427974155973,103.35599670410156,0.1727870972022329,28.685583326077964,0.1437107075938344,True,0,False,0.05
CSCO,77.76000213623047,0.4675949252667915,0.5324050747332085,0.6204263671600725,0.0698201168805409,-0.0929014026937788,0.2325416364548607,0.3254430391486396,UNSURE,low confidence (0.53 < tau 0.62),0.0221009601596678,0.01477199727931,74.32286071777344,85.53600234985352,0.1826263200688608,31.23905725495188,0.1482393018651726,True,0,False,0.05
AAPL,280.70001220703125,0.5322215384247084,0.5322215384247084,0.6204263671600725,-0.0257989629825744,-0.1885204825568942,0.1369225565917453,0.3254430391486396,UNSURE,low confidence (0.53 < tau 0.62),0.020621892581795,0.0066583431728615,292.2771432059152,252.63001098632813,0.2334702149490307,9.081305751520311,0.2389088067055864,False,ADX too low,False,0.05
JPM,316.1000061035156,0.4683989317232387,0.5316010682767613,0.6204263671600725,0.024646995509701,-0.1380745240646187,0.1873685150840209,0.3254430391486396,UNSURE,low confidence (0.53 < tau 0.62),0.0205789388718178,0.0056099230571802,303.09000069754467,347.7100067138672,0.139523802400729,33.0565039950434,0.0568868892524097,False,Expected move too small,False,0.05
MSFT,480.8399963378906,0.5262271066026454,0.5262271066026454,0.6204263671600725,0.0080112430457843,-0.1547102765285354,0.1707327626201042,0.3254430391486396,UNSURE,low confidence (0.53 < tau 0.62),0.020952431442184,0.0020120496563401,460.6904622220313,528.9239959716797,0.0275427119006342,77.5754792267079,-0.0372325455009179,False,Expected move too small,False,0.009223487996358795
MA,542.3099975585938,0.5258402870316994,0.5258402870316994,0.6204263671600725,-0.0326331224019593,-0.1953546419762791,0.1300883971723604,0.3254430391486396,UNSURE,low confidence (0.53 < tau 0.62),0.0192720729120725,0.0089039775476552,563.212873186384,488.0789978027344,-0.02939917986414,31.659838681555843,-0.0627464254920282,False,Price below DMA200,False,0.0
GOOGL,317.6199951171875,0.5181679330475222,0.5181679330475222,0.6204263671600725,0.0894307354540751,-0.0732907841202446,0.2521522550283949,0.3254430391486396,UNSURE,low confidence (0.52 < tau 0.62),0.0310883402463905,0.0149059547643551,297.8714381626674,349.3819946289063,0.5532201688432287,19.73276897404828,0.328009355474538,True,0,False,0.05
UNH,333.489990234375,0.5083391776295141,0.5083391776295141,0.6204263671600725,0.0722114473815328,-0.0905100721927869,0.2349329669558526,0.3254430391486396,UNSURE,low confidence (0.51 < tau 0.62),0.0261712787569318,0.0140260275847784,316.0342712402344,366.83898925781256,-0.0731157588453807,21.84618115554905,-0.0322569504005784,False,Price below DMA200,False,0.01662339516439602
